,rsi,MACD_12_26_9,eps,pe_ratio,pb_ratio,Cluster
RELIANCE.NS,45.71409175748617,45.71409175748617,25.52,107.75373526108588,2.5735222858932203,0
TCS.NS,76.1413115780209,76.1413115780209,30.29,127.67915127219848,17.54426026277797,1
HDFCBANK.NS,47.93852733190622,47.93852733190622,21.59,74.72640903018497,2.5872490741526266,0
INFY.NS,86.93933810456943,86.93933810456943,0.18,10199.206069984828,781.638633125595,-1
HINDUNILVR.NS,66.85755770080782,66.85755770080782,11.11,244.0559197536872,12.436759548540035,0
ICICIBANK.NS,49.57907110280248,49.57907110280248,16.32,76.61815329882184,3.473026126591113,0
KOTAKBANK.NS,53.929443611929045,53.929443611929045,37.47,48.411826173230374,2.7742889796263133,-1
BAJFINANCE.NS,42.08218967098373,42.08218967098373,63.11,107.26332335268202,5.471152758142768,-1
ITC.NS,79.09967590046374,79.09967590046374,4.26,122.44441075934392,8.415084857983256,1
BHARTIARTL.NS,67.5770531005523,67.5770531005523,4.14,441.8527948729514,11.160151695206538,0
ASIANPAINT.NS,53.50100351901111,53.50100351901111,12.2,241.77577966677336,15.104031155765954,0
LT.NS,56.091829312853896,56.091829312853896,20.25,181.5919373380353,5.857674195387914,0
AXISBANK.NS,31.669273232379684,31.669273232379684,20.69,56.526701934140966,2.2058459659583542,-1
SBIN.NS,52.651194548923904,52.651194548923904,12.4,35.994096896165225,1.854978326442721,0
MARUTI.NS,55.79578903751495,55.79578903751495,102.0,100.73880873847007,4.649329648477921,-1
HCLTECH.NS,76.64257818928424,76.64257818928424,15.69,104.02894587415787,6.4874269016347075,1
SUNPHARMA.NS,78.02936190467001,78.02936190467001,10.5,154.9420236844435,6.4602951655652285,1
ULTRACEMCO.NS,57.996835467386305,57.996835467386305,58.82,198.28195949387288,5.5855431716171715,-1
NESTLEIND.NS,35.767752866723875,35.767752866723875,7.74,319.86616333351554,83.59572155239441,-1
TITAN.NS,61.97655746540487,61.97655746540487,11.9,402.0137565819578,32.99825469229101,0
TATASTEEL.NS,41.06253351246566,41.06253351246566,0.42,331.85027966348287,2.2047931044262197,-1
WIPRO.NS,52.078180502371,52.078180502371,5.73,91.29149284296376,3.514537514193676,0
ADANIGREEN.NS,55.78245447422693,55.78245447422693,2.63,640.6097092428844,29.053480813740737,0
DIVISLAB.NS,68.32269403373421,68.32269403373421,13.5,239.50165824343995,9.371113442433616,0
M&M.NS,58.64893190508745,58.64893190508745,23.76,125.61339457396132,5.226566900082495,0
BAJAJFINSV.NS,47.401352890409,47.401352890409,13.3,118.304946801635,4.192048231467173,0
POWERGRID.NS,60.0736925082481,60.0736925082481,4.33,76.83663915322506,3.673491201092708,0
NTPC.NS,63.49220198009501,63.49220198009501,5.32,62.29464850198814,2.391143131032014,0
GRASIM.NS,66.77955169966354,66.77955169966354,22.958711,140.81979015767936,2.1758888079035916,0
TECHM.NS,68.48786147231284,68.48786147231284,9.6,159.72990952836983,5.099852938701542,0
ONGC.NS,68.85134898022767,68.85134898022767,8.23,37.934445840231,1.237611717146759,0
JSWSTEEL.NS,45.61897078010525,45.61897078010525,3.45,259.66770812224735,2.8250552133193296,0
CIPLA.NS,68.20631979246214,68.20631979246214,13.07,135.41522434081614,4.761411849693126,0
HEROMOTOCO.NS,49.760185877996264,49.760185877996264,54.59,117.14860881073918,6.18880252151709,2
BPCL.NS,63.97238201027026,63.97238201027026,6.65,50.20149395555693,1.8860295853263491,0
ADANIPORTS.NS,63.690809940563135,63.690809940563135,10.22,163.38773900545922,6.294397647583982,0
SHREECEM.NS,51.24596219112631,51.24596219112631,194.54,147.3786391549609,4.804293113865097,-1
COALINDIA.NS,61.4524851632798,61.4524851632798,14.72,23.16767356497508,3.7979879496056426,0
SBILIFE.NS,77.62456045837345,77.62456045837345,5.18,337.5637021398849,11.262304974643628,1
BRITANNIA.NS,68.9238494337621,68.9238494337621,23.11,262.79469452779426,35.888978914332824,0
EICHERMOT.NS,66.48597136750351,66.48597136750351,36.31,128.21250131953852,7.605488563511296,0
UPL.NS,45.85176862597915,45.85176862597915,-17.11,1021.1079154388297,1.4695900628774579,-1
DRREDDY.NS,72.58217523253505,72.58217523253505,78.53,87.64277569213493,4.083019348765651,-1
BAJAJ-AUTO.NS,50.987311067388326,50.987311067388326,69.6,136.48363699406175,9.15057004851113,2
INDUSINDBK.NS,40.329967479003486,40.329967479003486,29.55,46.51399009049452,1.72872263730929,-1
IOC.NS,60.82263084611782,60.82263084611782,6.56,48.420423891324695,1.3592603751091707,0
HINDALCO.NS,46.14408336782858,46.14408336782858,10.49,47.050436285948834,1.4069120341002166,0
TATACONSUM.NS,64.75816036189681,64.75816036189681,3.0,533.8171064492308,7.201987431491405,0
VEDL.NS,48.20217590724144,48.20217590724144,5.38,120.47401823367422,5.368430797535968,0
